lon,lat,plastic_c,bin_c
80.40641690000001,7.2593985,2,0
80.40640970000001,7.2593783,0,0
80.40639970000001,7.2593478,4,0
80.4063855,7.2592943,1,0
80.40636930000001,7.2592501,1,0
80.4063514,7.2591866,2,0
80.4063414,7.2591561,1,0
80.40628020000001,7.2589695,0,0
80.4062705,7.2589426,2,0
80.40626440000001,7.2589104,4,0
80.40625750000001,7.2587849,0,0
80.40625680000001,7.25875,1,0
80.4062591,7.2587154,2,0
80.4062586,7.2586781,2,0
80.40625460000001,7.2586416,0,0
80.4062463,7.2586144,2,0
80.4062457,7.2585787,2,0
80.406249,7.2585524,1,0
80.40625130000001,7.2585371,2,0
80.406253,7.2584976,2,0
80.4062526,7.2584822,2,0
80.40625010000001,7.2584595,0,0
80.4062499,7.2584275,0,0
80.4062531,7.2584082,0,0
80.4062536,7.2583921,0,0
80.4062566,7.2583468,1,0
80.4062564,7.2583296,2,0
80.40625150000001,7.2583136,5,0
80.40625440000001,7.2582957,0,0
80.4062542,7.258275,0,0
80.4062538,7.258249,3,0
80.4062502,7.2581848,2,0
80.40628310000001,7.2581378,7,0
80.40630780000001,7.2581132,1,0
80.4063734,7.2580694,0,0
80.4063885,7.2580557,1,0
80.40642460000001,7.258022,3,0
80.406514,7.2579241,3,0
80.40655550000001,7.2578731,0,0
80.4065807,7.2578462,2,0
80.4066014,7.2578329,2,0
80.40662160000001,7.2578162,3,0
80.4066658,7.2577828,4,0
80.4067445,7.257722,1,0
80.40677930000001,7.2576865,3,0
80.4068027,7.2576653,1,0
80.4068847,7.2575731,1,0
80.40689610000001,7.2575583,1,0
80.40692460000001,7.2575207,0,0
80.4069401,7.2574861,3,0
80.40698610000001,7.2574428,1,0
80.4069985,7.2574292,2,0
80.40700960000001,7.2574129,1,0
80.40705390000001,7.2573595,2,0
80.40712400000001,7.2572563,3,0
80.4071449,7.2572384,3,0
80.407168,7.2572258,6,0
80.40721110000001,7.2571823,1,0
80.4072268,7.2571677,1,0
80.4072994,7.2571,1,0
80.4073343,7.2570652,0,0
80.4073505,7.2570509,1,0
80.407363,7.2570335,0,0
80.40737870000001,7.2570125,3,0
80.4073967,7.2569824,4,0
